tweet_id,curtidas,retweets,data
790987426131050500,10702,2379,2016-10-25 18:44:32
790946055508652032,17951,5215,2016-10-25 16:00:09
790723298204217344,0,2582,2016-10-25 01:14:59
790698755171364864,8860,2117,2016-10-24 23:37:28
790581949425475584,22361,7978,2016-10-24 15:53:19
790337589677002753,8454,2074,2016-10-23 23:42:19
790277117346975746,13562,3554,2016-10-23 19:42:02
790227638568808452,0,3972,2016-10-23 16:25:25
789986466051088384,9998,2582,2016-10-23 00:27:05
789960241177853952,0,4618,2016-10-22 22:42:52
789903600034189313,11230,4591,2016-10-22 18:57:48
789628658055020548,8133,1981,2016-10-22 00:45:17
789599242079838210,7321,2155,2016-10-21 22:48:24
789530877013393408,12730,3748,2016-10-21 18:16:44
789314372632018944,9301,2558,2016-10-21 03:56:25
789280767834746880,0,5501,2016-10-21 01:42:53
789268448748703744,9850,2869,2016-10-21 00:53:56
789137962068021249,10488,3104,2016-10-20 16:15:26
788908386943430656,29603,13758,2016-10-20 01:03:11
788765914992902144,29651,11450,2016-10-19 15:37:03
788552643979468800,0,8003,2016-10-19 01:29:35
788412144018661376,16855,5882,2016-10-18 16:11:17
788178268662984705,7822,2359,2016-10-18 00:41:57
788150585577050112,6646,1445,2016-10-17 22:51:57
788070120937619456,0,3793,2016-10-17 17:32:13
788039637453406209,6643,1471,2016-10-17 15:31:05
787810552592695296,9371,3388,2016-10-17 00:20:47
787717603741622272,11038,3087,2016-10-16 18:11:26
787397959788929025,11713,3143,2016-10-15 21:01:17
787322443945877504,8416,1932,2016-10-15 16:01:13
787111942498508800,0,7442,2016-10-15 02:04:45
786963064373534720,28708,8869,2016-10-14 16:13:10
786729988674449408,0,2686,2016-10-14 00:47:00
786709082849828864,19634,6756,2016-10-13 23:23:56
786664955043049472,11525,2855,2016-10-13 20:28:35
786595970293370880,10149,3439,2016-10-13 15:54:28
786363235746385920,11782,3892,2016-10-13 00:29:39
786286427768250368,8616,3171,2016-10-12 19:24:27
786233965241827333,16533,5296,2016-10-12 15:55:59
786051337297522688,1551,170,2016-10-12 03:50:17
786036967502913536,0,7845,2016-10-12 02:53:11
785927819176054784,12255,3513,2016-10-11 19:39:28
785872687017132033,7216,2024,2016-10-11 16:00:24
785639753186217984,8430,2462,2016-10-11 00:34:48
785533386513321988,9842,2232,2016-10-10 17:32:08
785515384317313025,6582,1394,2016-10-10 16:20:36
785264754247995392,7834,1817,2016-10-09 23:44:41
785170936622350336,13065,5396,2016-10-09 17:31:53
784826020293709826,10935,3575,2016-10-08 18:41:19
784517518371221505,9677,2812,2016-10-07 22:15:26
784431430411685888,6150,1418,2016-10-07 16:33:21
784183165795655680,21708,8949,2016-10-07 00:06:50
784057939640352768,32267,12358,2016-10-06 15:49:14
783839966405230592,32437,11986,2016-10-06 01:23:05
783821107061198850,7940,2176,2016-10-06 00:08:09
783695101801398276,11267,3570,2016-10-05 15:47:27
783466772167098368,9111,2498,2016-10-05 00:40:09
783391753726550016,18203,6109,2016-10-04 19:42:03
783347506784731136,0,6209,2016-10-04 16:46:14
783334639985389568,31518,12999,2016-10-04 15:55:06
783085703974514689,8776,2462,2016-10-03 23:25:55
782969140009107456,25999,8148,2016-10-03 15:42:44
782747134529531904,8053,1548,2016-10-03 01:00:34
782722598790725632,18606,5978,2016-10-02 23:23:04
782598640137187329,8379,2079,2016-10-02 15:10:30
782305867769217024,17964,6168,2016-10-01 19:47:08
782021823840026624,0,6909,2016-10-01 00:58:26
781955203444699136,11965,3721,2016-09-30 20:33:43
781661882474196992,11253,2995,2016-09-30 01:08:10
781655249211752448,4313,1244,2016-09-30 00:41:48
781524693396357120,22360,6128,2016-09-29 16:03:01
781308096455073793,7689,2817,2016-09-29 01:42:20
781251288990355457,9091,2323,2016-09-28 21:56:36
781163403222056960,10511,3014,2016-09-28 16:07:23
780931614150983680,23305,8131,2016-09-28 00:46:20
780858289093574656,7745,2206,2016-09-27 19:54:58
